unix,low,high,open,close,volume,date
1621555200,33501.54,42275.99,40623.24,37340.77,55961.90006046,2021-05-21
1621468800,35000.0,42605.0,36735.44,40623.33,51445.79735691,2021-05-20
1621382400,30000.0,43591.7,42865.05,36731.75,109537.24233282,2021-05-19
1621296000,42300.0,45851.0,43571.89,42857.15,28210.30024018,2021-05-18
1621209600,42101.0,46646.15,46450.78,43580.5,43660.22208427,2021-05-17
1621123200,43825.0,49808.28,46771.01,46450.79,30655.33064729,2021-05-16
1621036800,46573.0,50730.58,49893.48,46775.51,21936.11454712,2021-05-15
1620950400,48895.0,51569.56,49682.28,49893.48,21987.79362448,2021-05-14
1620864000,46000.0,52500.0,49498.76,49690.11,42250.08740789,2021-05-13
1620777600,48500.0,58041.0,56753.19,49498.77,29660.84273553,2021-05-12
1620691200,54511.48,56962.07,55866.38,56753.19,15446.63591676,2021-05-11
1620604800,53600.0,59592.2,58313.84,55866.41,24647.23540718,2021-05-10
1620518400,56265.3,59300.52,58958.06,58312.57,17169.72318523,2021-05-09
1620432000,56980.01,59559.84,57380.39,58958.05,15374.94442964,2021-05-08
1620345600,55300.0,58735.95,56444.82,57380.39,18323.8958022,2021-05-07
1620259200,55288.0,58400.0,57515.69,56440.66,18244.13605211,2021-05-06
1620172800,52913.02,57980.86,53241.91,57515.69,22918.90458572,2021-05-05
1620086400,53057.7,57247.24,57212.73,53241.92,23492.0586849,2021-05-04
1620000000,56500.0,58986.0,56625.21,57212.73,15165.00648795,2021-05-03
1619913600,56072.0,57972.26,57859.28,56625.2,7647.62578087,2021-05-02
1619827200,57050.94,58550.0,57798.77,57859.28,10787.04933216,2021-05-01
1619740800,53068.43,58075.01,53580.0,57798.77,16536.33288912,2021-04-30
1619654400,52369.61,55226.86,54889.81,53580.0,14592.31688772,2021-04-29
1619568000,53887.0,56476.17,55069.61,54894.03,16484.33677655,2021-04-28
1619481600,53321.0,55509.39,54047.8,55069.62,13957.08649512,2021-04-27
1619395200,48817.62,54400.0,49121.0,54053.6,18005.22399425,2021-04-26
1619308800,47044.01,50591.38,50101.42,49121.0,14633.51206544,2021-04-25
1619222400,48726.87,51260.61,51187.75,50089.15,11839.14355893,2021-04-24
1619136000,47464.65,52130.58,51695.98,51187.27,38794.85818376,2021-04-23
1619049600,50400.0,55469.98,53795.62,51701.59,30427.89153907,2021-04-22
